param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.1,protSet_3,1,-3099,924,4023,862,50056
pm,0.1,protSet_3,2,-2805,397,3202,862,50056
pm,0.1,protSet_3,3,-3166,719,3885,862,50056
pm,0.1,protSet_3,4,-3006,865,3871,862,50056
pm,0.1,protSet_3,5,-3135,1216,4351,862,50056
pm,0.1,protSet_3,6,-2963,1291,4254,862,50056
pm,0.1,protSet_3,7,-3063,704,3767,862,50056
pm,0.1,protSet_3,8,-2956,936,3892,862,50056
pm,0.1,protSet_3,9,-2913,1219,4132,862,50056
pm,0.1,protSet_4,0,-2875,1076,3951,862,50056
pm,0.1,protSet_4,1,-2887,847,3734,862,50056
pm,0.1,protSet_4,2,-2883,674,3557,862,50056
pm,0.1,protSet_4,3,-2918,1297,4215,862,50056
pm,0.1,protSet_4,4,-2950,1143,4093,862,50056
pm,0.1,protSet_4,5,-2870,801,3671,862,50056
pm,0.1,protSet_4,6,-2775,608,3383,862,50056
pm,0.1,protSet_4,7,-2898,1351,4249,862,50056
pm,0.1,protSet_4,8,-2819,1494,4313,862,50056
pm,0.1,protSet_4,9,-2878,1099,3977,862,50056
pm,0.1,protSet_5,0,-2645,1279,3924,862,50056
pm,0.1,protSet_5,1,-2754,2008,4762,862,50056
pm,0.1,protSet_5,2,-2840,2011,4851,862,50056
pm,0.1,protSet_5,3,-2729,1016,3745,862,50056
pm,0.1,protSet_5,4,-2678,-4,2674,862,50056
pm,0.1,protSet_5,5,-2565,1944,4509,862,50056
pm,0.1,protSet_5,6,-2779,202,2981,862,50056
pm,0.1,protSet_5,7,-2622,2072,4694,862,50056
pm,0.1,protSet_5,8,-2930,795,3725,862,50056
pm,0.1,protSet_5,9,-2573,-59,2514,862,50056
pm,0.2,protSet_0,0,-2821,479,3300,862,50056
pm,0.2,protSet_0,1,-2900,1022,3922,862,50056
pm,0.2,protSet_0,2,-2869,553,3422,862,50056
pm,0.2,protSet_0,3,-2956,1063,4019,862,50056
pm,0.2,protSet_0,4,-2886,1037,3923,862,50056
pm,0.2,protSet_0,5,-2876,832,3708,862,50056
pm,0.2,protSet_0,6,-3027,1005,4032,862,50056
pm,0.2,protSet_0,7,-2960,1279,4239,862,50056
pm,0.2,protSet_0,8,-2907,1136,4043,862,50056
pm,0.2,protSet_0,9,-2898,1007,3905,862,50056
pm,0.2,protSet_1,0,-2680,1327,4007,862,50056
pm,0.2,protSet_1,1,-2692,1479,4171,862,50056
pm,0.2,protSet_1,2,-2618,1529,4147,862,50056
pm,0.2,protSet_1,3,-2669,1597,4266,862,50056
pm,0.2,protSet_1,4,-2739,1229,3968,862,50056
pm,0.2,protSet_1,5,-2705,1050,3755,862,50056
pm,0.2,protSet_1,6,-2473,1403,3876,862,50056
pm,0.2,protSet_1,7,-2664,1274,3938,862,50056
pm,0.2,protSet_1,8,-2677,1326,4003,862,50056
pm,0.2,protSet_1,9,-2532,1356,3888,862,50056
pm,0.2,protSet_2,0,-3255,1061,4316,862,50056
pm,0.2,protSet_2,1,-3296,1169,4465,862,50056
pm,0.2,protSet_2,2,-3275,1081,4356,862,50056
pm,0.2,protSet_2,3,-3196,948,4144,862,50056
pm,0.2,protSet_2,4,-3251,1024,4275,862,50056
pm,0.2,protSet_2,5,-3131,1297,4428,862,50056
pm,0.2,protSet_2,6,-3238,1006,4244,862,50056
pm,0.2,protSet_2,7,-3237,998,4235,862,50056
pm,0.2,protSet_2,8,-3202,1160,4362,862,50056
pm,0.2,protSet_2,9,-3264,1316,4580,862,50056
pm,0.2,protSet_3,0,-2870,972,3842,862,50056
pm,0.2,protSet_3,1,-3099,1105,4204,862,50056
pm,0.2,protSet_3,2,-2805,1161,3966,862,50056
pm,0.2,protSet_3,3,-3166,897,4063,862,50056
pm,0.2,protSet_3,4,-3006,1349,4355,862,50056
pm,0.2,protSet_3,5,-3135,1180,4315,862,50056
pm,0.2,protSet_3,6,-2963,1018,3981,862,50056
pm,0.2,protSet_3,7,-3063,1226,4289,862,50056
pm,0.2,protSet_3,8,-2956,1178,4134,862,50056
pm,0.2,protSet_3,9,-2913,1214,4127,862,50056
pm,0.2,protSet_4,0,-2875,1216,4091,862,50056
pm,0.2,protSet_4,1,-2887,1220,4107,862,50056
pm,0.2,protSet_4,2,-2883,1377,4260,862,50056
pm,0.2,protSet_4,3,-2918,1387,4305,862,50056
pm,0.2,protSet_4,4,-2950,1155,4105,862,50056
pm,0.2,protSet_4,5,-2870,1370,4240,862,50056
pm,0.2,protSet_4,6,-2775,1338,4113,862,50056
pm,0.2,protSet_4,7,-2898,1646,4544,862,50056
pm,0.2,protSet_4,8,-2819,1163,3982,862,50056
pm,0.2,protSet_4,9,-2878,1134,4012,862,50056
pm,0.2,protSet_5,0,-2645,2177,4822,862,50056
pm,0.2,protSet_5,1,-2754,2022,4776,862,50056
pm,0.2,protSet_5,2,-2840,1541,4381,862,50056
pm,0.2,protSet_5,3,-2729,395,3124,862,50056
pm,0.2,protSet_5,4,-2678,1891,4569,862,50056
pm,0.2,protSet_5,5,-2565,380,2945,862,50056
pm,0.2,protSet_5,6,-2779,1569,4348,862,50056
pm,0.2,protSet_5,7,-2622,1944,4566,862,50056
pm,0.2,protSet_5,8,-2930,2095,5025,862,50056
pm,0.2,protSet_5,9,-2573,1508,4081,862,50056
pm,0.4,protSet_0,0,-2821,1381,4202,862,50056
pm,0.4,protSet_0,1,-2900,1224,4124,862,50056
pm,0.4,protSet_0,2,-2869,1052,3921,862,50056
pm,0.4,protSet_0,3,-2956,1334,4290,862,50056
pm,0.4,protSet_0,4,-2886,1180,4066,862,50056
pm,0.4,protSet_0,5,-2876,1321,4197,862,50056
pm,0.4,protSet_0,6,-3027,879,3906,862,50056
pm,0.4,protSet_0,7,-2960,1286,4246,862,50056
pm,0.4,protSet_0,8,-2907,1367,4274,862,50056
pm,0.4,protSet_0,9,-2898,1281,4179,862,50056
