param,value,instance,run,init_best,final_best,improvement,gens,evals
pc,0.3,tuneA_1,7,-550,149,699,689,40022
pc,0.3,tuneA_1,8,-494,-103,391,689,40022
pc,0.3,tuneA_1,9,-530,158,688,689,40022
pc,0.3,tuneA_2,0,-562,383,945,689,40022
pc,0.3,tuneA_2,1,-523,392,915,689,40022
pc,0.3,tuneA_2,2,-532,403,935,689,40022
pc,0.3,tuneA_2,3,-525,17,542,689,40022
pc,0.3,tuneA_2,4,-527,417,944,689,40022
pc,0.3,tuneA_2,5,-558,153,711,689,40022
pc,0.3,tuneA_2,6,-549,-65,484,689,40022
pc,0.3,tuneA_2,7,-484,58,542,689,40022
pc,0.3,tuneA_2,8,-539,424,963,689,40022
pc,0.3,tuneA_2,9,-547,-3,544,689,40022
pc,0.3,tuneB_0,0,-637,177,814,689,40022
pc,0.3,tuneB_0,1,-619,136,755,689,40022
pc,0.3,tuneB_0,2,-604,154,758,689,40022
pc,0.3,tuneB_0,3,-579,160,739,689,40022
pc,0.3,tuneB_0,4,-584,153,737,689,40022
pc,0.3,tuneB_0,5,-619,151,770,689,40022
pc,0.3,tuneB_0,6,-591,167,758,689,40022
pc,0.3,tuneB_0,7,-589,161,750,689,40022
pc,0.3,tuneB_0,8,-598,112,710,689,40022
pc,0.3,tuneB_0,9,-626,142,768,689,40022
pc,0.3,tuneB_1,0,-577,155,732,689,40022
pc,0.3,tuneB_1,1,-514,-103,411,689,40022
pc,0.3,tuneB_1,2,-591,194,785,689,40022
pc,0.3,tuneB_1,3,-573,181,754,689,40022
pc,0.3,tuneB_1,4,-581,180,761,689,40022
pc,0.3,tuneB_1,5,-570,218,788,689,40022
pc,0.3,tuneB_1,6,-566,94,660,689,40022
pc,0.3,tuneB_1,7,-592,182,774,689,40022
pc,0.3,tuneB_1,8,-590,-78,512,689,40022
pc,0.3,tuneB_1,9,-593,190,783,689,40022
pc,0.3,tuneB_2,0,-680,-30,650,689,40022
pc,0.3,tuneB_2,1,-672,16,688,689,40022
pc,0.3,tuneB_2,2,-679,-18,661,689,40022
pc,0.3,tuneB_2,3,-685,-34,651,689,40022
pc,0.3,tuneB_2,4,-672,20,692,689,40022
pc,0.3,tuneB_2,5,-678,22,700,689,40022
pc,0.3,tuneB_2,6,-645,-29,616,689,40022
pc,0.3,tuneB_2,7,-643,-69,574,689,40022
pc,0.3,tuneB_2,8,-668,62,730,689,40022
pc,0.3,tuneB_2,9,-670,-23,647,689,40022
pc,0.3,tuneC_0,0,-701,-192,509,689,40022
pc,0.3,tuneC_0,1,-673,-167,506,689,40022
pc,0.3,tuneC_0,2,-682,-184,498,689,40022
pc,0.3,tuneC_0,3,-646,-182,464,689,40022
pc,0.3,tuneC_0,4,-679,-167,512,689,40022
pc,0.3,tuneC_0,5,-690,-165,525,689,40022
pc,0.3,tuneC_0,6,-663,-178,485,689,40022
pc,0.3,tuneC_0,7,-683,-185,498,689,40022
pc,0.3,tuneC_0,8,-678,-206,472,689,40022
pc,0.3,tuneC_0,9,-684,-178,506,689,40022
pc,0.3,tuneC_1,0,-699,-184,515,689,40022
pc,0.3,tuneC_1,1,-682,-158,524,689,40022
pc,0.3,tuneC_1,2,-702,-173,529,689,40022
pc,0.3,tuneC_1,3,-688,-166,522,689,40022
pc,0.3,tuneC_1,4,-706,-155,551,689,40022
pc,0.3,tuneC_1,5,-704,-159,545,689,40022
pc,0.3,tuneC_1,6,-708,-199,509,689,40022
pc,0.3,tuneC_1,7,-660,-156,504,689,40022
pc,0.3,tuneC_1,8,-684,-176,508,689,40022
pc,0.3,tuneC_1,9,-685,-176,509,689,40022
pc,0.6,tuneA_0,0,-501,357,858,689,40022
pc,0.6,tuneA_0,1,-511,398,909,689,40022
pc,0.6,tuneA_0,2,-516,398,914,689,40022
pc,0.6,tuneA_0,3,-498,418,916,689,40022
pc,0.6,tuneA_0,4,-528,398,926,689,40022
pc,0.6,tuneA_0,5,-533,418,951,689,40022
pc,0.6,tuneA_0,6,-497,398,895,689,40022
pc,0.6,tuneA_0,7,-523,304,827,689,40022
pc,0.6,tuneA_0,8,-535,398,933,689,40022
pc,0.6,tuneA_0,9,-493,42,535,689,40022
pc,0.6,tuneA_1,0,-519,341,860,689,40022
pc,0.6,tuneA_1,1,-487,344,831,689,40022
pc,0.6,tuneA_1,2,-537,273,810,689,40022
pc,0.6,tuneA_1,3,-559,347,906,689,40022
pc,0.6,tuneA_1,4,-501,362,863,689,40022
pc,0.6,tuneA_1,5,-514,328,842,689,40022
pc,0.6,tuneA_1,6,-518,356,874,689,40022
pc,0.6,tuneA_1,7,-550,-31,519,689,40022
pc,0.6,tuneA_1,8,-494,272,766,689,40022
pc,0.6,tuneA_1,9,-530,303,833,689,40022
pc,0.6,tuneA_2,0,-562,397,959,689,40022
pc,0.6,tuneA_2,1,-523,349,872,689,40022
pc,0.6,tuneA_2,2,-532,393,925,689,40022
pc,0.6,tuneA_2,3,-525,161,686,689,40022
pc,0.6,tuneA_2,4,-527,382,909,689,40022
pc,0.6,tuneA_2,5,-558,409,967,689,40022
pc,0.6,tuneA_2,6,-549,-6,543,689,40022
pc,0.6,tuneA_2,7,-484,-168,316,689,40022
pc,0.6,tuneA_2,8,-539,375,914,689,40022
pc,0.6,tuneA_2,9,-547,424,971,689,40022
pc,0.6,tuneB_0,0,-637,177,814,689,40022
pc,0.6,tuneB_0,1,-619,180,799,689,40022
pc,0.6,tuneB_0,2,-604,155,759,689,40022
pc,0.6,tuneB_0,3,-579,167,746,689,40022
pc,0.6,tuneB_0,4,-584,205,789,689,40022
pc,0.6,tuneB_0,5,-619,113,732,689,40022
pc,0.6,tuneB_0,6,-591,159,750,689,40022
pc,0.6,tuneB_0,7,-589,159,748,689,40022
