param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.1,tuneA_1,6,-518,-101,417,689,40022
pm,0.1,tuneA_1,7,-550,-116,434,689,40022
pm,0.1,tuneA_1,8,-494,121,615,689,40022
pm,0.1,tuneA_1,9,-530,-27,503,689,40022
pm,0.1,tuneA_2,0,-562,2,564,689,40022
pm,0.1,tuneA_2,1,-523,-21,502,689,40022
pm,0.1,tuneA_2,2,-532,-60,472,689,40022
pm,0.1,tuneA_2,3,-525,33,558,689,40022
pm,0.1,tuneA_2,4,-527,-13,514,689,40022
pm,0.1,tuneA_2,5,-558,-52,506,689,40022
pm,0.1,tuneA_2,6,-549,219,768,689,40022
pm,0.1,tuneA_2,7,-484,95,579,689,40022
pm,0.1,tuneA_2,8,-539,232,771,689,40022
pm,0.1,tuneA_2,9,-547,18,565,689,40022
pm,0.1,tuneB_0,0,-637,93,730,689,40022
pm,0.1,tuneB_0,1,-619,-137,482,689,40022
pm,0.1,tuneB_0,2,-604,-201,403,689,40022
pm,0.1,tuneB_0,3,-579,176,755,689,40022
pm,0.1,tuneB_0,4,-584,143,727,689,40022
pm,0.1,tuneB_0,5,-619,69,688,689,40022
pm,0.1,tuneB_0,6,-591,12,603,689,40022
pm,0.1,tuneB_0,7,-589,94,683,689,40022
pm,0.1,tuneB_0,8,-598,-75,523,689,40022
pm,0.1,tuneB_0,9,-626,-2,624,689,40022
pm,0.1,tuneB_1,0,-577,-85,492,689,40022
pm,0.1,tuneB_1,1,-514,-137,377,689,40022
pm,0.1,tuneB_1,2,-591,-117,474,689,40022
pm,0.1,tuneB_1,3,-573,-51,522,689,40022
pm,0.1,tuneB_1,4,-581,107,688,689,40022
pm,0.1,tuneB_1,5,-570,7,577,689,40022
pm,0.1,tuneB_1,6,-566,-32,534,689,40022
pm,0.1,tuneB_1,7,-592,97,689,689,40022
pm,0.1,tuneB_1,8,-590,-57,533,689,40022
pm,0.1,tuneB_1,9,-593,181,774,689,40022
pm,0.1,tuneB_2,0,-680,-150,530,689,40022
pm,0.1,tuneB_2,1,-672,-2,670,689,40022
pm,0.1,tuneB_2,2,-679,13,692,689,40022
pm,0.1,tuneB_2,3,-685,-107,578,689,40022
pm,0.1,tuneB_2,4,-672,-80,592,689,40022
pm,0.1,tuneB_2,5,-678,-26,652,689,40022
pm,0.1,tuneB_2,6,-645,-62,583,689,40022
pm,0.1,tuneB_2,7,-643,-77,566,689,40022
pm,0.1,tuneB_2,8,-668,-47,621,689,40022
pm,0.1,tuneB_2,9,-670,-43,627,689,40022
pm,0.1,tuneC_0,0,-701,-178,523,689,40022
pm,0.1,tuneC_0,1,-673,-201,472,689,40022
pm,0.1,tuneC_0,2,-682,-174,508,689,40022
pm,0.1,tuneC_0,3,-646,-263,383,689,40022
pm,0.1,tuneC_0,4,-679,-245,434,689,40022
pm,0.1,tuneC_0,5,-690,-203,487,689,40022
pm,0.1,tuneC_0,6,-663,-250,413,689,40022
pm,0.1,tuneC_0,7,-683,-384,299,689,40022
pm,0.1,tuneC_0,8,-678,-179,499,689,40022
pm,0.1,tuneC_0,9,-684,-185,499,689,40022
pm,0.1,tuneC_1,0,-699,-194,505,689,40022
pm,0.1,tuneC_1,1,-682,-201,481,689,40022
pm,0.1,tuneC_1,2,-702,-178,524,689,40022
pm,0.1,tuneC_1,3,-688,-178,510,689,40022
pm,0.1,tuneC_1,4,-706,-158,548,689,40022
pm,0.1,tuneC_1,5,-704,-163,541,689,40022
pm,0.1,tuneC_1,6,-708,-173,535,689,40022
pm,0.1,tuneC_1,7,-660,-175,485,689,40022
pm,0.1,tuneC_1,8,-684,-150,534,689,40022
pm,0.1,tuneC_1,9,-685,-185,500,689,40022
pm,0.2,tuneA_0,0,-501,-177,324,689,40022
pm,0.2,tuneA_0,1,-511,418,929,689,40022
pm,0.2,tuneA_0,2,-516,-32,484,689,40022
pm,0.2,tuneA_0,3,-498,398,896,689,40022
pm,0.2,tuneA_0,4,-528,398,926,689,40022
pm,0.2,tuneA_0,5,-533,104,637,689,40022
pm,0.2,tuneA_0,6,-497,14,511,689,40022
pm,0.2,tuneA_0,7,-523,311,834,689,40022
pm,0.2,tuneA_0,8,-535,418,953,689,40022
pm,0.2,tuneA_0,9,-493,158,651,689,40022
pm,0.2,tuneA_1,0,-519,53,572,689,40022
pm,0.2,tuneA_1,1,-487,8,495,689,40022
pm,0.2,tuneA_1,2,-537,328,865,689,40022
pm,0.2,tuneA_1,3,-559,109,668,689,40022
pm,0.2,tuneA_1,4,-501,38,539,689,40022
pm,0.2,tuneA_1,5,-514,347,861,689,40022
pm,0.2,tuneA_1,6,-518,267,785,689,40022
pm,0.2,tuneA_1,7,-550,298,848,689,40022
pm,0.2,tuneA_1,8,-494,78,572,689,40022
pm,0.2,tuneA_1,9,-530,226,756,689,40022
pm,0.2,tuneA_2,0,-562,87,649,689,40022
pm,0.2,tuneA_2,1,-523,0,523,689,40022
pm,0.2,tuneA_2,2,-532,112,644,689,40022
pm,0.2,tuneA_2,3,-525,291,816,689,40022
pm,0.2,tuneA_2,4,-527,-99,428,689,40022
pm,0.2,tuneA_2,5,-558,325,883,689,40022
pm,0.2,tuneA_2,6,-549,407,956,689,40022
