param,value,instance,run,init_best,final_best,improvement,gens,evals
pop,40,tuneA_2,1,-523,258,781,1052,40016
pop,40,tuneA_2,2,-532,158,690,1052,40016
pop,40,tuneA_2,3,-525,59,584,1052,40016
pop,40,tuneA_2,4,-557,38,595,1052,40016
pop,40,tuneA_2,5,-569,400,969,1052,40016
pop,40,tuneA_2,6,-549,407,956,1052,40016
pop,40,tuneA_2,7,-552,356,908,1052,40016
pop,40,tuneA_2,8,-570,393,963,1052,40016
pop,40,tuneA_2,9,-547,417,964,1052,40016
pop,40,tuneB_0,0,-653,205,858,1052,40016
pop,40,tuneB_0,1,-619,193,812,1052,40016
pop,40,tuneB_0,2,-604,128,732,1052,40016
pop,40,tuneB_0,3,-579,142,721,1052,40016
pop,40,tuneB_0,4,-612,205,817,1052,40016
pop,40,tuneB_0,5,-619,205,824,1052,40016
pop,40,tuneB_0,6,-591,175,766,1052,40016
pop,40,tuneB_0,7,-610,153,763,1052,40016
pop,40,tuneB_0,8,-634,208,842,1052,40016
pop,40,tuneB_0,9,-626,187,813,1052,40016
pop,40,tuneB_1,0,-577,-78,499,1052,40016
pop,40,tuneB_1,1,-546,2,548,1052,40016
pop,40,tuneB_1,2,-614,139,753,1052,40016
pop,40,tuneB_1,3,-573,173,746,1052,40016
pop,40,tuneB_1,4,-586,203,789,1052,40016
pop,40,tuneB_1,5,-570,70,640,1052,40016
pop,40,tuneB_1,6,-566,154,720,1052,40016
pop,40,tuneB_1,7,-592,190,782,1052,40016
pop,40,tuneB_1,8,-590,-122,468,1052,40016
pop,40,tuneB_1,9,-593,221,814,1052,40016
pop,40,tuneB_2,0,-703,-73,630,1052,40016
pop,40,tuneB_2,1,-672,44,716,1052,40016
pop,40,tuneB_2,2,-691,12,703,1052,40016
pop,40,tuneB_2,3,-685,-8,677,1052,40016
pop,40,tuneB_2,4,-672,3,675,1052,40016
pop,40,tuneB_2,5,-678,15,693,1052,40016
pop,40,tuneB_2,6,-645,38,683,1052,40016
pop,40,tuneB_2,7,-643,-21,622,1052,40016
pop,40,tuneB_2,8,-668,-25,643,1052,40016
pop,40,tuneB_2,9,-670,-31,639,1052,40016
pop,40,tuneC_0,0,-701,-243,458,1052,40016
pop,40,tuneC_0,1,-708,-254,454,1052,40016
pop,40,tuneC_0,2,-691,-180,511,1052,40016
pop,40,tuneC_0,3,-646,-204,442,1052,40016
pop,40,tuneC_0,4,-699,-191,508,1052,40016
pop,40,tuneC_0,5,-702,-156,546,1052,40016
pop,40,tuneC_0,6,-663,-170,493,1052,40016
pop,40,tuneC_0,7,-683,-176,507,1052,40016
pop,40,tuneC_0,8,-678,-164,514,1052,40016
pop,40,tuneC_0,9,-684,-170,514,1052,40016
pop,40,tuneC_1,0,-699,-170,529,1052,40016
pop,40,tuneC_1,1,-715,-158,557,1052,40016
pop,40,tuneC_1,2,-702,-142,560,1052,40016
pop,40,tuneC_1,3,-688,-167,521,1052,40016
pop,40,tuneC_1,4,-706,-175,531,1052,40016
pop,40,tuneC_1,5,-704,-145,559,1052,40016
pop,40,tuneC_1,6,-708,-168,540,1052,40016
pop,40,tuneC_1,7,-660,-159,501,1052,40016
