class,instance,run,init_best,final_best,improvement,evals
simHard,simHard_0,0,-724,-179,545,40022
simHard,simHard_0,1,-721,-180,541,40022
simHard,simHard_0,2,-723,-177,546,40022
simHard,simHard_0,3,-734,-175,559,40022
simHard,simHard_0,4,-740,-161,579,40022
simHard,simHard_0,5,-719,-143,576,40022
simHard,simHard_0,6,-726,-209,517,40022
simHard,simHard_0,7,-703,-135,568,40022
simHard,simHard_0,8,-710,-183,527,40022
simHard,simHard_0,9,-713,-183,530,40022
simHard,simHard_1,0,-672,-112,560,40022
simHard,simHard_1,1,-704,-154,550,40022
simHard,simHard_1,2,-671,-132,539,40022
simHard,simHard_1,3,-678,-119,559,40022
simHard,simHard_1,4,-666,-120,546,40022
simHard,simHard_1,5,-691,-144,547,40022
simHard,simHard_1,6,-686,-159,527,40022
simHard,simHard_1,7,-690,-132,558,40022
simHard,simHard_1,8,-670,-91,579,40022
simHard,simHard_1,9,-689,-112,577,40022
simHard,simHard_2,0,-680,-194,486,40022
simHard,simHard_2,1,-625,-174,451,40022
simHard,simHard_2,2,-660,-139,521,40022
simHard,simHard_2,3,-674,-136,538,40022
simHard,simHard_2,4,-666,-126,540,40022
simHard,simHard_2,5,-690,-157,533,40022
simHard,simHard_2,6,-660,-149,511,40022
simHard,simHard_2,7,-669,-175,494,40022
simHard,simHard_2,8,-657,-134,523,40022
simHard,simHard_2,9,-647,-193,454,40022
simHard,simHard_3,0,-669,-98,571,40022
simHard,simHard_3,1,-634,-111,523,40022
simHard,simHard_3,2,-653,-82,571,40022
simHard,simHard_3,3,-671,-123,548,40022
simHard,simHard_3,4,-680,-97,583,40022
simHard,simHard_3,5,-641,-112,529,40022
simHard,simHard_3,6,-628,-116,512,40022
simHard,simHard_3,7,-663,-210,453,40022
simHard,simHard_3,8,-634,-119,515,40022
simHard,simHard_3,9,-633,-86,547,40022
simHard,simHard_4,0,-691,-201,490,40022
simHard,simHard_4,1,-694,-254,440,40022
simHard,simHard_4,2,-680,-199,481,40022
simHard,simHard_4,3,-707,-260,447,40022
simHard,simHard_4,4,-695,-207,488,40022
simHard,simHard_4,5,-652,-238,414,40022
simHard,simHard_4,6,-693,-216,477,40022
simHard,simHard_4,7,-707,-188,519,40022
simHard,simHard_4,8,-681,-167,514,40022
simHard,simHard_4,9,-653,-193,460,40022
